esp,eng
chico,boy
chica,girl
pareja,couple
tristeza,sadness
comida,food
suplicar,pray
enojo,anger
limpieza,cleaning
asombro,astonishment
disculpa,apology
grito,scream
fiesta,party
llamada,call
romance,romatic
comedia,comedy
vida cotidiana,slice life
edificio,building
beso,kiss
anciano,old man
rechazo,rejection
verguenza,shame
maestro artes marciales,master martial arts
golpe,knock
ecchi,ecchi
estudiante,student
encantador,lovely
pelea,fight
escuela,school
enfrentamiento,confrontation
voley,voleyball
ping pong,ping pong
perro,dog
gato,cat
chancho,pig
espada,sword
arma,gun
corredor,runner
ciclismo,cycling
futbol,soccer
balon,ball
tenis,tennis
auto de carreras,race car
carretera,highway